,name,breed_id,species_id,breed_id_on_species,breed,breed_index,image_path
0,Abyssinian_100,0,0,0,abyssinian,100,dataset/oxford-iiit-pet/images/Abyssinian_100.jpg
1,Abyssinian_101,0,0,0,abyssinian,101,dataset/oxford-iiit-pet/images/Abyssinian_101.jpg
2,Abyssinian_102,0,0,0,abyssinian,102,dataset/oxford-iiit-pet/images/Abyssinian_102.jpg
3,Abyssinian_103,0,0,0,abyssinian,103,dataset/oxford-iiit-pet/images/Abyssinian_103.jpg
4,Abyssinian_104,0,0,0,abyssinian,104,dataset/oxford-iiit-pet/images/Abyssinian_104.jpg
5,Abyssinian_105,0,0,0,abyssinian,105,dataset/oxford-iiit-pet/images/Abyssinian_105.jpg
6,Abyssinian_106,0,0,0,abyssinian,106,dataset/oxford-iiit-pet/images/Abyssinian_106.jpg
7,Abyssinian_107,0,0,0,abyssinian,107,dataset/oxford-iiit-pet/images/Abyssinian_107.jpg
8,Abyssinian_108,0,0,0,abyssinian,108,dataset/oxford-iiit-pet/images/Abyssinian_108.jpg
9,Abyssinian_109,0,0,0,abyssinian,109,dataset/oxford-iiit-pet/images/Abyssinian_109.jpg
10,Abyssinian_10,0,0,0,abyssinian,10,dataset/oxford-iiit-pet/images/Abyssinian_10.jpg
11,Abyssinian_110,0,0,0,abyssinian,110,dataset/oxford-iiit-pet/images/Abyssinian_110.jpg
12,Abyssinian_111,0,0,0,abyssinian,111,dataset/oxford-iiit-pet/images/Abyssinian_111.jpg
13,Abyssinian_112,0,0,0,abyssinian,112,dataset/oxford-iiit-pet/images/Abyssinian_112.jpg
14,Abyssinian_113,0,0,0,abyssinian,113,dataset/oxford-iiit-pet/images/Abyssinian_113.jpg
15,Abyssinian_114,0,0,0,abyssinian,114,dataset/oxford-iiit-pet/images/Abyssinian_114.jpg
16,Abyssinian_115,0,0,0,abyssinian,115,dataset/oxford-iiit-pet/images/Abyssinian_115.jpg
17,Abyssinian_116,0,0,0,abyssinian,116,dataset/oxford-iiit-pet/images/Abyssinian_116.jpg
18,Abyssinian_117,0,0,0,abyssinian,117,dataset/oxford-iiit-pet/images/Abyssinian_117.jpg
19,Abyssinian_118,0,0,0,abyssinian,118,dataset/oxford-iiit-pet/images/Abyssinian_118.jpg
20,Abyssinian_119,0,0,0,abyssinian,119,dataset/oxford-iiit-pet/images/Abyssinian_119.jpg
21,Abyssinian_11,0,0,0,abyssinian,11,dataset/oxford-iiit-pet/images/Abyssinian_11.jpg
22,Abyssinian_120,0,0,0,abyssinian,120,dataset/oxford-iiit-pet/images/Abyssinian_120.jpg
23,Abyssinian_121,0,0,0,abyssinian,121,dataset/oxford-iiit-pet/images/Abyssinian_121.jpg
24,Abyssinian_122,0,0,0,abyssinian,122,dataset/oxford-iiit-pet/images/Abyssinian_122.jpg
25,Abyssinian_123,0,0,0,abyssinian,123,dataset/oxford-iiit-pet/images/Abyssinian_123.jpg
26,Abyssinian_124,0,0,0,abyssinian,124,dataset/oxford-iiit-pet/images/Abyssinian_124.jpg
27,Abyssinian_125,0,0,0,abyssinian,125,dataset/oxford-iiit-pet/images/Abyssinian_125.jpg
28,Abyssinian_126,0,0,0,abyssinian,126,dataset/oxford-iiit-pet/images/Abyssinian_126.jpg
29,Abyssinian_127,0,0,0,abyssinian,127,dataset/oxford-iiit-pet/images/Abyssinian_127.jpg
30,Abyssinian_128,0,0,0,abyssinian,128,dataset/oxford-iiit-pet/images/Abyssinian_128.jpg
31,Abyssinian_129,0,0,0,abyssinian,129,dataset/oxford-iiit-pet/images/Abyssinian_129.jpg
32,Abyssinian_12,0,0,0,abyssinian,12,dataset/oxford-iiit-pet/images/Abyssinian_12.jpg
33,Abyssinian_130,0,0,0,abyssinian,130,dataset/oxford-iiit-pet/images/Abyssinian_130.jpg
34,Abyssinian_131,0,0,0,abyssinian,131,dataset/oxford-iiit-pet/images/Abyssinian_131.jpg
35,Abyssinian_132,0,0,0,abyssinian,132,dataset/oxford-iiit-pet/images/Abyssinian_132.jpg
36,Abyssinian_133,0,0,0,abyssinian,133,dataset/oxford-iiit-pet/images/Abyssinian_133.jpg
37,Abyssinian_134,0,0,0,abyssinian,134,dataset/oxford-iiit-pet/images/Abyssinian_134.jpg
38,Abyssinian_135,0,0,0,abyssinian,135,dataset/oxford-iiit-pet/images/Abyssinian_135.jpg
39,Abyssinian_136,0,0,0,abyssinian,136,dataset/oxford-iiit-pet/images/Abyssinian_136.jpg
40,Abyssinian_137,0,0,0,abyssinian,137,dataset/oxford-iiit-pet/images/Abyssinian_137.jpg
41,Abyssinian_138,0,0,0,abyssinian,138,dataset/oxford-iiit-pet/images/Abyssinian_138.jpg
42,Abyssinian_139,0,0,0,abyssinian,139,dataset/oxford-iiit-pet/images/Abyssinian_139.jpg
43,Abyssinian_13,0,0,0,abyssinian,13,dataset/oxford-iiit-pet/images/Abyssinian_13.jpg
44,Abyssinian_140,0,0,0,abyssinian,140,dataset/oxford-iiit-pet/images/Abyssinian_140.jpg
45,Abyssinian_141,0,0,0,abyssinian,141,dataset/oxford-iiit-pet/images/Abyssinian_141.jpg
46,Abyssinian_142,0,0,0,abyssinian,142,dataset/oxford-iiit-pet/images/Abyssinian_142.jpg
47,Abyssinian_143,0,0,0,abyssinian,143,dataset/oxford-iiit-pet/images/Abyssinian_143.jpg
48,Abyssinian_144,0,0,0,abyssinian,144,dataset/oxford-iiit-pet/images/Abyssinian_144.jpg
49,Abyssinian_145,0,0,0,abyssinian,145,dataset/oxford-iiit-pet/images/Abyssinian_145.jpg
50,american_bulldog_100,1,1,0,american_bulldog,100,dataset/oxford-iiit-pet/images/american_bulldog_100.jpg
51,american_bulldog_101,1,1,0,american_bulldog,101,dataset/oxford-iiit-pet/images/american_bulldog_101.jpg
52,american_bulldog_102,1,1,0,american_bulldog,102,dataset/oxford-iiit-pet/images/american_bulldog_102.jpg
53,american_bulldog_103,1,1,0,american_bulldog,103,dataset/oxford-iiit-pet/images/american_bulldog_103.jpg
54,american_bulldog_104,1,1,0,american_bulldog,104,dataset/oxford-iiit-pet/images/american_bulldog_104.jpg
55,american_bulldog_105,1,1,0,american_bulldog,105,dataset/oxford-iiit-pet/images/american_bulldog_105.jpg
56,american_bulldog_106,1,1,0,american_bulldog,106,dataset/oxford-iiit-pet/images/american_bulldog_106.jpg
57,american_bulldog_107,1,1,0,american_bulldog,107,dataset/oxford-iiit-pet/images/american_bulldog_107.jpg
58,american_bulldog_108,1,1,0,american_bulldog,108,dataset/oxford-iiit-pet/images/american_bulldog_108.jpg
59,american_bulldog_109,1,1,0,american_bulldog,109,dataset/oxford-iiit-pet/images/american_bulldog_109.jpg
60,american_bulldog_10,1,1,0,american_bulldog,10,dataset/oxford-iiit-pet/images/american_bulldog_10.jpg
61,american_bulldog_110,1,1,0,american_bulldog,110,dataset/oxford-iiit-pet/images/american_bulldog_110.jpg
62,american_bulldog_111,1,1,0,american_bulldog,111,dataset/oxford-iiit-pet/images/american_bulldog_111.jpg
63,american_bulldog_112,1,1,0,american_bulldog,112,dataset/oxford-iiit-pet/images/american_bulldog_112.jpg
64,american_bulldog_113,1,1,0,american_bulldog,113,dataset/oxford-iiit-pet/images/american_bulldog_113.jpg
65,american_bulldog_114,1,1,0,american_bulldog,114,dataset/oxford-iiit-pet/images/american_bulldog_114.jpg
66,american_bulldog_115,1,1,0,american_bulldog,115,dataset/oxford-iiit-pet/images/american_bulldog_115.jpg
67,american_bulldog_116,1,1,0,american_bulldog,116,dataset/oxford-iiit-pet/images/american_bulldog_116.jpg
68,american_bulldog_117,1,1,0,american_bulldog,117,dataset/oxford-iiit-pet/images/american_bulldog_117.jpg
69,american_bulldog_118,1,1,0,american_bulldog,118,dataset/oxford-iiit-pet/images/american_bulldog_118.jpg
70,american_bulldog_119,1,1,0,american_bulldog,119,dataset/oxford-iiit-pet/images/american_bulldog_119.jpg
71,american_bulldog_11,1,1,0,american_bulldog,11,dataset/oxford-iiit-pet/images/american_bulldog_11.jpg
72,american_bulldog_120,1,1,0,american_bulldog,120,dataset/oxford-iiit-pet/images/american_bulldog_120.jpg
